Orginal File Name:,DP-JTT-2018_1_3_1657.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36,IP: ::1,Time:,2018_1_3_1657,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
18,01110100,6,77.381,NaN,NA,NA,
18,01110100,7,77.995,0.612,1,1,
18,10000111,2,78.012,NaN,NA,NA,
19,10000111,3,78.012,NaN,NA,NA,
19,10000111,4,79.014,NaN,NA,NA,
19,10000111,5,79.217,NaN,NA,25628.bmp,A366.bmp,
19,10000111,6,79.72200000000001,NaN,NA,NA,
19,10000111,7,80.437,0.713,-1,1,
19,01111001,2,80.455,NaN,NA,NA,
20,01111001,3,80.455,NaN,NA,NA,
20,01111001,4,81.461,NaN,NA,NA,
20,01111001,5,81.667,NaN,NA,19800.bmp,A304.bmp,
20,01111001,6,82.671,NaN,NA,NA,
20,01111001,7,83.296,0.624,1,1,
20,00010011,2,83.315,NaN,NA,NA,
21,00010011,3,83.315,NaN,NA,NA,
21,00010011,4,84.318,NaN,NA,NA,
21,00010011,5,84.523,NaN,NA,07249.bmp,A188.bmp,
21,00010011,6,85.026,NaN,NA,NA,
21,00010011,7,85.69800000000001,0.671,1,1,
21,01011100,2,85.717,NaN,NA,NA,
22,01011100,3,85.717,NaN,NA,NA,
22,01011100,4,86.721,NaN,NA,NA,
22,01011100,5,86.925,NaN,NA,19184.bmp,A248.bmp,
22,01011100,6,87.93,NaN,NA,NA,
22,01011100,7,88.31400000000001,0.383,1,1,
22,10011010,2,88.333,NaN,NA,NA,
23,10011010,3,88.333,NaN,NA,NA,
23,10011010,4,89.336,NaN,NA,NA,
23,10011010,5,89.54,NaN,NA,27450.bmp,A56.bmp,
23,10011010,6,90.545,NaN,NA,NA,
23,10011010,7,91.273,0.726,1,1,
23,00010001,2,91.291,NaN,NA,NA,
24,00010001,3,91.291,NaN,NA,NA,
24,00010001,4,92.294,NaN,NA,NA,
24,00010001,5,92.497,NaN,NA,07182.bmp,A178.bmp,
24,00010001,6,93,NaN,NA,NA,
24,00010001,7,93.59700000000001,0.594,1,1,
24,10110001,2,93.614,NaN,NA,NA,
25,10110001,3,93.614,NaN,NA,NA,
25,10110001,4,94.618,NaN,NA,NA,
25,10110001,5,94.824,NaN,NA,28179.bmp,A8.bmp,
25,10110001,6,95.33,NaN,NA,NA,
25,10110001,7,95.955,0.623,1,1,
25,01100001,2,95.973,NaN,NA,NA,
26,01100001,3,95.973,NaN,NA,NA,
26,01100001,4,96.977,NaN,NA,NA,
26,01100001,5,97.179,NaN,NA,19500.bmp,A292.bmp,
26,01100001,6,97.68,NaN,NA,NA,
26,01100001,7,98.291,0.61,-1,1,
26,10000000,2,98.31,NaN,NA,NA,
27,10000000,3,98.31,NaN,NA,NA,
27,10000000,4,99.316,NaN,NA,NA,
27,10000000,5,99.521,NaN,NA,28210.bmp,A84.bmp,
27,10000000,6,100.024,NaN,NA,NA,
27,10000000,7,100.524,0.499,-1,1,
27,10100100,2,100.543,NaN,NA,NA,
28,10100100,3,100.543,NaN,NA,NA,
28,10100100,4,101.546,NaN,NA,NA,
28,10100100,5,101.748,NaN,NA,229002.bmp,A36.bmp,
28,10100100,6,102.254,NaN,NA,NA,
28,10100100,7,102.786,0.531,-1,1,
28,00100111,2,102.805,NaN,NA,NA,
29,00100111,3,102.805,NaN,NA,NA,
29,00100111,4,103.81,NaN,NA,NA,
29,00100111,5,104.015,NaN,NA,07179.bmp,A176.bmp,
29,00100111,6,104.516,NaN,NA,NA,
29,00100111,7,105.072,0.554,-1,1,
29,00111110,2,105.09100000000001,NaN,NA,NA,
30,00111110,3,105.09100000000001,NaN,NA,NA,
30,00111110,4,106.096,NaN,NA,NA,
30,00111110,5,106.299,NaN,NA,07161.bmp,A174.bmp,
30,00111110,6,107.3,NaN,NA,NA,
30,00111110,7,107.772,0.47100000000000003,1,1,
30,01110001,2,107.791,NaN,NA,NA,
31,01110001,3,107.791,NaN,NA,NA,
31,01110001,4,108.795,NaN,NA,NA,
31,01110001,5,108.997,NaN,NA,19075.bmp,A242.bmp,
31,01110001,6,109.499,NaN,NA,NA,
31,01110001,7,110.35000000000001,0.85,1,1,
31,10000011,2,110.369,NaN,NA,NA,
32,10000011,3,110.369,NaN,NA,NA,
32,10000011,4,111.373,NaN,NA,NA,
32,10000011,5,111.578,NaN,NA,229002.bmp,A36.bmp,
32,10000011,6,112.081,NaN,NA,NA,
32,10000011,7,112.61,0.528,-1,1,
32,00101101,2,112.628,NaN,NA,NA,
33,00101101,3,112.628,NaN,NA,NA,
33,00101101,4,113.631,NaN,NA,NA,
33,00101101,5,113.837,NaN,NA,07632.bmp,A20.bmp,
33,00101101,6,114.84100000000001,NaN,NA,NA,
33,00101101,7,115.406,0.5640000000000001,-1,1,
33,00111110,2,115.424,NaN,NA,NA,
34,00111110,3,115.424,NaN,NA,NA,
34,00111110,4,116.427,NaN,NA,NA,
34,00111110,5,116.631,NaN,NA,07053.bmp,A164.bmp,
34,00111110,6,117.637,NaN,NA,NA,
34,00111110,7,118.22,0.582,1,1,
34,10100010,2,118.23700000000001,NaN,NA,NA,
35,10100010,3,118.23700000000001,NaN,NA,NA,
35,10100010,4,119.24300000000001,NaN,NA,NA,
35,10100010,5,119.44500000000001,NaN,NA,27195.bmp,A384.bmp,
35,10100010,6,119.95,NaN,NA,NA,
35,10100010,7,120.553,0.601,-1,1,
35,10110110,2,120.571,NaN,NA,NA,
36,10110110,3,120.571,NaN,NA,NA,
36,10110110,4,121.57300000000001,NaN,NA,NA,
36,10110110,5,121.778,NaN,NA,22080.bmp,A350.bmp,
36,10110110,6,122.281,NaN,NA,NA,
36,10110110,7,122.866,0.583,1,1,
36,10010011,2,122.885,NaN,NA,NA,
37,10010011,3,122.885,NaN,NA,NA,
37,10010011,4,123.887,NaN,NA,NA,
37,10010011,5,124.09100000000001,NaN,NA,27195.bmp,A384.bmp,
37,10010011,6,124.592,NaN,NA,NA,
37,10010011,7,125.117,0.523,1,1,
37,10100000,2,125.135,NaN,NA,NA,
38,10100000,3,125.135,NaN,NA,NA,
38,10100000,4,126.136,NaN,NA,NA,
38,10100000,5,126.34100000000001,NaN,NA,25800.bmp,A372.bmp,
38,10100000,6,126.843,NaN,NA,NA,
38,10100000,7,127.639,0.794,-1,1,
38,00101000,2,127.657,NaN,NA,NA,
39,00101000,3,127.657,NaN,NA,NA,
39,00101000,4,128.662,NaN,NA,NA,
39,00101000,5,128.867,NaN,NA,07590.bmp,A2.bmp,
39,00101000,6,129.87,NaN,NA,NA,
39,00101000,7,130.522,0.65,-1,1,
39,00010000,2,130.54,NaN,NA,NA,
40,00010000,3,130.54,NaN,NA,NA,
40,00010000,4,131.54500000000002,NaN,NA,NA,
40,00010000,5,131.747,NaN,NA,05531.bmp,A140.bmp,
40,00010000,6,132.25300000000001,NaN,NA,NA,
40,00010000,7,132.897,0.642,1,1,
40,10010000,2,132.91400000000002,NaN,NA,NA,
41,10010000,3,132.91400000000002,NaN,NA,NA,
41,10010000,4,133.915,NaN,NA,NA,
41,10010000,5,134.12,NaN,NA,25623.bmp,A364.bmp,
41,10010000,6,134.625,NaN,NA,NA,
41,10010000,7,135.235,0.609,1,1,
41,00011001,2,135.255,NaN,NA,NA,
42,00011001,3,135.255,NaN,NA,NA,
42,00011001,4,136.258,NaN,NA,NA,
42,00011001,5,136.461,NaN,NA,02396.bmp,A120.bmp,
42,00011001,6,137.462,NaN,NA,NA,
42,00011001,7,138.076,0.613,1,1,
42,10011100,2,138.094,NaN,NA,NA,
43,10011100,3,138.094,NaN,NA,NA,
43,10011100,4,139.095,NaN,NA,NA,
43,10011100,5,139.296,NaN,NA,28540.bmp,A96.bmp,
43,10011100,6,140.3,NaN,NA,NA,
43,10011100,7,140.784,0.483,1,1,
43,00000011,2,140.803,NaN,NA,NA,
44,00000011,3,140.803,NaN,NA,NA,
44,00000011,4,141.803,NaN,NA,NA,
44,00000011,5,142.004,NaN,NA,07040.bmp,A16.bmp,
44,00000011,6,142.508,NaN,NA,NA,
44,00000011,7,143.236,0.727,-1,1,
44,10010101,2,143.255,NaN,NA,NA,
45,10010101,3,143.255,NaN,NA,NA,
45,10010101,4,144.26,NaN,NA,NA,
45,10010101,5,144.464,NaN,NA,28162.bmp,A78.bmp,
45,10010101,6,144.967,NaN,NA,NA,
45,10010101,7,145.607,0.639,1,1,
45,01001111,2,145.626,NaN,NA,NA,
46,01001111,3,145.627,NaN,NA,NA,
46,01001111,4,146.631,NaN,NA,NA,
46,01001111,5,146.837,NaN,NA,16560.bmp,A236.bmp,
46,01001111,6,147.841,NaN,NA,NA,
46,01001111,7,148.53,0.6880000000000001,-1,2,
46,01001111,8,148.53,NaN,NA,NA,
46,01111101,2,151.558,NaN,NA,NA,
47,01111101,3,151.558,NaN,NA,NA,
47,01111101,4,152.561,NaN,NA,NA,
47,01111101,5,152.763,NaN,NA,19187.bmp,A250.bmp,
47,01111101,6,153.76500000000001,NaN,NA,NA,
47,01111101,7,154.297,0.531,1,1,
47,00010110,2,154.316,NaN,NA,NA,
48,00010110,3,154.316,NaN,NA,NA,
48,00010110,4,155.31900000000002,NaN,NA,NA,
48,00010110,5,155.523,NaN,NA,07484.bmp,A194.bmp,
48,00010110,6,156.024,NaN,NA,NA,
48,00010110,7,156.828,0.803,1,1,
48,10111100,2,156.847,NaN,NA,NA,
49,10111100,3,156.847,NaN,NA,NA,
49,10111100,4,157.851,NaN,NA,NA,
49,10111100,5,158.055,NaN,NA,28210.bmp,A84.bmp,
49,10111100,6,159.061,NaN,NA,NA,
49,10111100,7,159.803,0.741,1,1,
49,01010001,2,159.822,NaN,NA,NA,
50,01010001,3,159.822,NaN,NA,NA,
50,01010001,4,160.827,NaN,NA,NA,
50,01010001,5,161.031,NaN,NA,19220.bmp,A252.bmp,
