Orginal File Name:,DP-NULL-2018_0_1_1911.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36,Time:,2018_0_1_1911,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
18,01100000,6,73.114,NaN,NA,NA,
18,01100000,7,73.783,0.667,-1,1,
18,00111001,2,73.803,NaN,NA,NA,
19,00111001,3,73.803,NaN,NA,NA,
19,00111001,4,74.805,NaN,NA,NA,
19,00111001,5,75.006,NaN,NA,07019.bmp,A173.bmp,
19,00111001,6,76.008,NaN,NA,NA,
19,00111001,7,76.724,0.714,1,1,
19,00011101,2,76.742,NaN,NA,NA,
20,00011101,3,76.742,NaN,NA,NA,
20,00011101,4,77.747,NaN,NA,NA,
20,00011101,5,77.95,NaN,NA,02516.bmp,A127.bmp,
20,00011101,6,78.95400000000001,NaN,NA,NA,
20,00011101,7,79.364,0.40900000000000003,1,1,
20,00100011,2,79.383,NaN,NA,NA,
21,00100011,3,79.383,NaN,NA,NA,
21,00100011,4,80.387,NaN,NA,NA,
21,00100011,5,80.59100000000001,NaN,NA,065702.bmp,A157.bmp,
21,00100011,6,81.09400000000001,NaN,NA,NA,
21,00100011,7,82.053,0.9570000000000001,-1,1,
21,00011011,2,82.071,NaN,NA,NA,
22,00011011,3,82.071,NaN,NA,NA,
22,00011011,4,83.071,NaN,NA,NA,
22,00011011,5,83.276,NaN,NA,08160.bmp,A21.bmp,
22,00011011,6,84.277,NaN,NA,NA,
22,00011011,7,84.955,0.676,1,1,
22,01100110,2,84.973,NaN,NA,NA,
23,01100110,3,84.973,NaN,NA,NA,
23,01100110,4,85.974,NaN,NA,NA,
23,01100110,5,86.18,NaN,NA,13195.bmp,A251.bmp,
23,01100110,6,86.686,NaN,NA,NA,
23,01100110,7,87.387,0.7000000000000001,-1,1,
23,00110100,2,87.405,NaN,NA,NA,
24,00110100,3,87.405,NaN,NA,NA,
24,00110100,4,88.405,NaN,NA,NA,
24,00110100,5,88.60600000000001,NaN,NA,02880.bmp,A139.bmp,
24,00110100,6,89.107,NaN,NA,NA,
24,00110100,7,89.868,0.759,1,1,
24,00011101,2,89.887,NaN,NA,NA,
25,00011101,3,89.887,NaN,NA,NA,
25,00011101,4,90.889,NaN,NA,NA,
25,00011101,5,91.09400000000001,NaN,NA,02749.bmp,A133.bmp,
25,00011101,6,92.09700000000001,NaN,NA,NA,
25,00011101,7,92.815,0.717,1,1,
25,00000100,2,92.833,NaN,NA,NA,
26,00000100,3,92.833,NaN,NA,NA,
26,00000100,4,93.836,NaN,NA,NA,
26,00000100,5,94.042,NaN,NA,02214.bmp,A109.bmp,
26,00000100,6,94.542,NaN,NA,NA,
26,00000100,7,95.092,0.548,-1,1,
26,01010101,2,95.11,NaN,NA,NA,
27,01010101,3,95.11,NaN,NA,NA,
27,01010101,4,96.114,NaN,NA,NA,
27,01010101,5,96.318,NaN,NA,19405.bmp,A323.bmp,
27,01010101,6,96.82000000000001,NaN,NA,NA,
27,01010101,7,97.535,0.714,1,1,
27,10010000,2,97.553,NaN,NA,NA,
28,10010000,3,97.553,NaN,NA,NA,
28,10010000,4,98.559,NaN,NA,NA,
28,10010000,5,98.76,NaN,NA,220552.bmp,A361.bmp,
28,10010000,6,99.261,NaN,NA,NA,
28,10010000,7,99.882,0.619,1,1,
28,01000111,2,99.899,NaN,NA,NA,
29,01000111,3,99.899,NaN,NA,NA,
29,01000111,4,100.9,NaN,NA,NA,
29,01000111,5,101.105,NaN,NA,13181.bmp,A249.bmp,
29,01000111,6,101.61,NaN,NA,NA,
29,01000111,7,102.385,0.774,-1,2,
29,01000111,8,102.385,NaN,NA,NA,
29,10101101,2,105.41,NaN,NA,NA,
30,10101101,3,105.41,NaN,NA,NA,
30,10101101,4,106.413,NaN,NA,NA,
30,10101101,5,106.61500000000001,NaN,NA,21710.bmp,A349.bmp,
30,10101101,6,107.616,NaN,NA,NA,
30,10101101,7,108.283,0.666,-1,1,
30,00001001,2,108.302,NaN,NA,NA,
31,00001001,3,108.302,NaN,NA,NA,
31,00001001,4,109.305,NaN,NA,NA,
31,00001001,5,109.51,NaN,NA,05534.bmp,A149.bmp,
31,00001001,6,110.515,NaN,NA,NA,
31,00001001,7,111.104,0.588,-1,1,
31,10100011,2,111.123,NaN,NA,NA,
32,10100011,3,111.123,NaN,NA,NA,
32,10100011,4,112.12400000000001,NaN,NA,NA,
32,10100011,5,112.328,NaN,NA,21410.bmp,A331.bmp,
32,10100011,6,112.83200000000001,NaN,NA,NA,
32,10100011,7,113.446,0.613,-1,1,
32,10111110,2,113.464,NaN,NA,NA,
33,10111110,3,113.464,NaN,NA,NA,
33,10111110,4,114.465,NaN,NA,NA,
33,10111110,5,114.667,NaN,NA,25460.bmp,A55.bmp,
33,10111110,6,115.668,NaN,NA,NA,
33,10111110,7,116.319,0.65,1,1,
33,00000001,2,116.336,NaN,NA,NA,
34,00000001,3,116.336,NaN,NA,NA,
34,00000001,4,117.337,NaN,NA,NA,
34,00000001,5,117.541,NaN,NA,05534.bmp,A149.bmp,
34,00000001,6,118.045,NaN,NA,NA,
34,00000001,7,118.62100000000001,0.5750000000000001,-1,1,
34,10110010,2,118.639,NaN,NA,NA,
35,10110010,3,118.639,NaN,NA,NA,
35,10110010,4,119.641,NaN,NA,NA,
35,10110010,5,119.845,NaN,NA,27270.bmp,A77.bmp,
35,10110010,6,120.345,NaN,NA,NA,
35,10110010,7,121.235,0.889,1,1,
35,00001011,2,121.25200000000001,NaN,NA,NA,
36,00001011,3,121.25200000000001,NaN,NA,NA,
36,00001011,4,122.257,NaN,NA,NA,
36,00001011,5,122.458,NaN,NA,07207.bmp,A197.bmp,
36,00001011,6,123.46000000000001,NaN,NA,NA,
36,00001011,7,124.241,0.779,-1,2,
36,00001011,8,124.241,NaN,NA,NA,
36,00101000,2,127.268,NaN,NA,NA,
37,00101000,3,127.268,NaN,NA,NA,
37,00101000,4,128.269,NaN,NA,NA,
37,00101000,5,128.471,NaN,NA,07017.bmp,A17.bmp,
37,00101000,6,129.471,NaN,NA,NA,
37,00101000,7,130.14600000000002,0.674,-1,1,
37,01111000,2,130.163,NaN,NA,NA,
38,01111000,3,130.163,NaN,NA,NA,
38,01111000,4,131.16400000000002,NaN,NA,NA,
38,01111000,5,131.365,NaN,NA,13103.bmp,A245.bmp,
38,01111000,6,132.368,NaN,NA,NA,
38,01111000,7,136.274,3.903,1,2,
38,01111000,8,136.274,NaN,NA,NA,
38,00111111,2,139.30100000000002,NaN,NA,NA,
39,00111111,3,139.30100000000002,NaN,NA,NA,
