Orginal File Name:,DP-JT3-2018_5_3_1726.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36,IP: ::ffff:127.0.0.1,Time:,2018_5_3_1726,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
17,00111100,2,123.199,NaN,NA,NA,
18,00111100,3,123.199,NaN,NA,NA,
18,00111100,4,124.20400000000001,NaN,NA,NA,
18,00111100,5,124.404,NaN,NA,07001.bmp,A159.bmp,
18,00111100,6,125.405,NaN,NA,NA,
18,00111100,7,125.611,0.203,1,2,
18,00111100,8,125.611,NaN,NA,NA,
18,00111110,2,128.631,NaN,NA,NA,
19,00111110,3,128.632,NaN,NA,NA,
19,00111110,4,129.63400000000001,NaN,NA,NA,
19,00111110,5,129.835,NaN,NA,07170.bmp,A19.bmp,
19,00111110,6,130.84,NaN,NA,NA,
19,00111110,7,130.854,0.012,1,1,
19,00110111,2,130.868,NaN,NA,NA,
20,00110111,3,130.868,NaN,NA,NA,
20,00110111,4,131.87,NaN,NA,NA,
20,00110111,5,132.072,NaN,NA,09700.bmp,A213.bmp,
20,00110111,6,132.575,NaN,NA,NA,
20,00110111,7,132.591,0.014,1,1,
20,10101011,2,132.604,NaN,NA,NA,
21,10101011,3,132.604,NaN,NA,NA,
21,10101011,4,133.607,NaN,NA,NA,
21,10101011,5,133.812,NaN,NA,25260.bmp,A49.bmp,
21,10101011,6,134.816,NaN,NA,NA,
21,10101011,7,134.868,0.05,-1,1,
21,10101010,2,134.879,NaN,NA,NA,
22,10101010,3,134.879,NaN,NA,NA,
22,10101010,4,135.883,NaN,NA,NA,
22,10101010,5,136.084,NaN,NA,22395.bmp,A379.bmp,
22,10101010,6,137.085,NaN,NA,NA,
22,10101010,7,137.165,0.078,-1,1,
22,00001111,2,137.178,NaN,NA,NA,
23,00001111,3,137.178,NaN,NA,NA,
23,00001111,4,138.183,NaN,NA,NA,
23,00001111,5,138.388,NaN,NA,07025.bmp,A177.bmp,
23,00001111,6,139.392,NaN,NA,NA,
23,00001111,7,139.443,0.049,-1,2,
23,00001111,8,139.443,NaN,NA,NA,
23,00010011,2,142.464,NaN,NA,NA,
24,00010011,3,142.464,NaN,NA,NA,
24,00010011,4,143.465,NaN,NA,NA,
24,00010011,5,143.668,NaN,NA,02211.bmp,A107.bmp,
24,00010011,6,144.173,NaN,NA,NA,
24,00010011,7,144.236,0.061,1,2,
24,00010011,8,144.236,NaN,NA,NA,
24,01100100,2,147.255,NaN,NA,NA,
25,01100100,3,147.255,NaN,NA,NA,
25,01100100,4,148.257,NaN,NA,NA,
25,01100100,5,148.461,NaN,NA,19000.bmp,A303.bmp,
25,01100100,6,148.962,NaN,NA,NA,
25,01100100,7,149.02100000000002,0.057,-1,2,
25,01100100,8,149.02100000000002,NaN,NA,NA,
25,00111000,2,152.043,NaN,NA,NA,
26,00111000,3,152.043,NaN,NA,NA,
26,00111000,4,153.048,NaN,NA,NA,
26,00111000,5,153.252,NaN,NA,05534.bmp,A149.bmp,
26,00111000,6,154.258,NaN,NA,NA,
26,00111000,7,154.261,0.001,1,2,
26,00111000,8,154.261,NaN,NA,NA,
26,00100001,2,157.28,NaN,NA,NA,
27,00100001,3,157.281,NaN,NA,NA,
27,00100001,4,158.284,NaN,NA,NA,
27,00100001,5,158.484,NaN,NA,05510.bmp,A147.bmp,
27,00100001,6,158.99,NaN,NA,NA,
27,00100001,7,159.066,0.074,-1,2,
27,00100001,8,159.066,NaN,NA,NA,
27,00001001,2,162.086,NaN,NA,NA,
28,00001001,3,162.086,NaN,NA,NA,
28,00001001,4,163.08700000000002,NaN,NA,NA,
28,00001001,5,163.291,NaN,NA,07211.bmp,A199.bmp,
28,00001001,6,164.293,NaN,NA,NA,
28,00001001,7,164.39600000000002,0.10200000000000001,-1,1,
28,00000011,2,164.411,NaN,NA,NA,
29,00000011,3,164.411,NaN,NA,NA,
29,00000011,4,165.412,NaN,NA,NA,
29,00000011,5,165.613,NaN,NA,07059.bmp,A187.bmp,
29,00000011,6,166.114,NaN,NA,NA,
29,00000011,7,166.141,0.024,-1,2,
29,00000011,8,166.141,NaN,NA,NA,
29,00111001,2,169.159,NaN,NA,NA,
30,00111001,3,169.159,NaN,NA,NA,
30,00111001,4,170.16,NaN,NA,NA,
30,00111001,5,170.366,NaN,NA,01645.bmp,A101.bmp,
30,00111001,6,171.367,NaN,NA,NA,
30,00111001,7,171.46800000000002,0.099,1,2,
30,00111001,8,171.46800000000002,NaN,NA,NA,
30,01110101,2,174.486,NaN,NA,NA,
31,01110101,3,174.486,NaN,NA,NA,
31,01110101,4,175.486,NaN,NA,NA,
31,01110101,5,175.687,NaN,NA,12141.bmp,A219.bmp,
31,01110101,6,176.189,NaN,NA,NA,
31,01110101,7,176.23,0.039,1,2,
31,01110101,8,176.23,NaN,NA,NA,
31,00011100,2,179.25,NaN,NA,NA,
32,00011100,3,179.251,NaN,NA,NA,
32,00011100,4,180.254,NaN,NA,NA,
32,00011100,5,180.455,NaN,NA,04004.bmp,A143.bmp,
32,00011100,6,181.46,NaN,NA,NA,
32,00011100,7,181.463,0.001,1,1,
32,01110110,2,181.476,NaN,NA,NA,
33,01110110,3,181.476,NaN,NA,NA,
33,01110110,4,182.476,NaN,NA,NA,
33,01110110,5,182.679,NaN,NA,16415.bmp,A289.bmp,
33,01110110,6,183.184,NaN,NA,NA,
33,01110110,7,183.211,0.026000000000000002,1,1,
33,10001011,2,183.225,NaN,NA,NA,
34,10001011,3,183.225,NaN,NA,NA,
34,10001011,4,184.226,NaN,NA,NA,
34,10001011,5,184.427,NaN,NA,21999.bmp,A353.bmp,
34,10001011,6,185.428,NaN,NA,NA,
34,10001011,7,185.502,0.07200000000000001,-1,2,
34,10001011,8,185.502,NaN,NA,NA,
34,01111001,2,188.52,NaN,NA,NA,
35,01111001,3,188.52,NaN,NA,NA,
35,01111001,4,189.522,NaN,NA,NA,
35,01111001,5,189.728,NaN,NA,16021.bmp,A27.bmp,
35,01111001,6,190.733,NaN,NA,NA,
35,01111001,7,190.736,0.002,1,2,
35,01111001,8,190.736,NaN,NA,NA,
35,01101010,2,193.754,NaN,NA,NA,
36,01101010,3,193.754,NaN,NA,NA,
36,01101010,4,194.755,NaN,NA,NA,
36,01101010,5,194.96,NaN,NA,19561.bmp,A325.bmp,
36,01101010,6,195.965,NaN,NA,NA,
36,01101010,7,195.984,0.017,-1,1,
36,00000100,2,195.997,NaN,NA,NA,
37,00000100,3,195.997,NaN,NA,NA,
37,00000100,4,197,NaN,NA,NA,
37,00000100,5,197.201,NaN,NA,07045.bmp,A181.bmp,
37,00000100,6,197.702,NaN,NA,NA,
37,00000100,7,197.729,0.024,-1,1,
37,01000101,2,197.743,NaN,NA,NA,
38,01000101,3,197.743,NaN,NA,NA,
38,01000101,4,198.746,NaN,NA,NA,
38,01000101,5,198.949,NaN,NA,16821.bmp,A297.bmp,
38,01000101,6,199.45000000000002,NaN,NA,NA,
38,01000101,7,199.476,0.024,-1,1,
38,10001111,2,199.489,NaN,NA,NA,
39,10001111,3,199.489,NaN,NA,NA,
39,10001111,4,200.491,NaN,NA,NA,
39,10001111,5,200.692,NaN,NA,22000.bmp,A355.bmp,
39,10001111,6,201.693,NaN,NA,NA,
39,10001111,7,201.756,0.061,-1,2,
39,10001111,8,201.756,NaN,NA,NA,
39,10110011,2,204.775,NaN,NA,NA,
40,10110011,3,204.775,NaN,NA,NA,
40,10110011,4,205.78,NaN,NA,NA,
40,10110011,5,205.984,NaN,NA,223752.bmp,A375.bmp,
40,10110011,6,206.489,NaN,NA,NA,
40,10110011,7,206.556,0.065,1,1,
40,00101111,2,206.56900000000002,NaN,NA,NA,
41,00101111,3,206.56900000000002,NaN,NA,NA,
41,00101111,4,207.573,NaN,NA,NA,
41,00101111,5,207.778,NaN,NA,07025.bmp,A177.bmp,
41,00101111,6,208.78,NaN,NA,NA,
