Orginal File Name:,CT-JTESTPANAS-2018_5_4_1054.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36,IP: undefined,Time:,2018_5_4_1054,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_ms,response_time,response,result
practice,106,1,391,87,56.073,0.036000000000000004,2,1,
practice,107,1,92,-41,56.414,0.074,2,1,
practice,108,1,546,-100,56.721000000000004,0.042,2,1,
practice,109,1,359,134,57.084,0.094,2,1,
practice,110,1,305,-114,57.471000000000004,0.116,2,1,
practice,111,1,221,-188,58.652,0.9,2,1,
practice,112,1,250,-37,59.094,0.162,1,1,
practice,113,1,-517,143,59.385,0.005,2,2,
practice,114,1,-510,-130,59.923,0.127,2,1,
practice,115,1,323,-186,60.663000000000004,0.458,2,1,
practice,116,1,417,-240,61.003,0.056,2,1,
practice,117,1,314,-37,61.354,0.07100000000000001,2,1,
practice,118,1,239,48,61.778,0.14200000000000002,2,1,
practice,119,1,275,155,62.244,0.183,2,1,
practice,120,1,274,89,62.894,0.371,2,1,
practice,121,1,346,44,63.525,0.34800000000000003,2,1,
practice,122,1,158,37,64.107,0.3,1,2,
practice,123,1,256,65,64.84400000000001,0.326,2,1,
practice,124,1,-19,95,65.482,0.359,2,1,
practice,125,1,359,-220,65.833,0.07100000000000001,2,1,
practice,126,1,429,279,70.615,4.5040000000000004,2,1,
practice,127,1,50,-102,71.622,0.725,2,1,
practice,128,1,292,111,72.252,0.34900000000000003,2,2,
practice,129,1,-287,89,72.787,0.124,2,2,
practice,130,1,140,4,73.327,0.128,2,2,
practice,131,1,-328,-1,73.854,0.12,2,2,
practice,132,1,-392,-18,74.449,0.193,1,1,
practice,133,1,-357,149,74.781,0.049,1,1,
practice,134,1,-261,95,75.083,0.023,1,1,
practice,135,1,-241,183,75.418,0.053,1,1,
practice,136,1,-503,-182,75.737,0.037,1,1,
practice,137,1,-395,211,76.063,0.046,1,1,
practice,138,1,-404,-198,76.386,0.042,1,2,
practice,139,1,91,190,76.83800000000001,0.038,1,2,
practice,140,1,204,-130,77.435,0.187,2,1,
main,1,1,-154,-163,79.95400000000001,0.653,1,2,
main,2,1,78,42,80.949,0.578,2,2,
main,3,1,-56,-87,81.437,0.08700000000000001,2,2,
main,4,1,-368,-364,81.914,0.07,1,1,
main,5,1,-434,190,87.125,4.926,1,1,
main,6,1,-318,-102,87.709,0.303,1,2,
main,7,1,208,224,117.87,29.749000000000002,1,2,
main,8,1,239,-67,118.57300000000001,0.292,1,2,
main,9,1,632,331,120.495,1.499,1,2,
main,10,1,362,151,121.08200000000001,0.182,1,2,
main,12,1,480,-140,121.58800000000001,0.028,1,2,
main,13,1,208,-188,122.014,0.016,1,2,
main,14,1,90,136,125.528,3.108,1,1,
main,15,1,-433,-21,128.288,2.481,1,1,
main,16,1,-680,-38,128.875,0.302,1,2,
main,17,1,199,-266,131.285,2.003,1,2,
main,18,1,278,139,131.87800000000001,0.182,1,1,
main,19,1,-201,1,132.213,0.048,1,1,
main,20,1,-261,-132,132.56,0.068,1,1,
main,21,1,-563,-121,132.901,0.078,1,1,
main,22,1,-218,-59,133.245,0.075,1,2,
main,23,1,302,51,133.665,0.007,1,2,
main,24,1,366,359,134.098,0.031,1,2,
main,25,1,640,147,134.518,0.007,1,1,
main,26,1,-460,-194,134.855,0.056,1,1,
