Version:,3,Orginal File Name:,CT-JT1.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_19_44,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,116,1,417,-240,53.384,0.055,2,1,
practice,117,1,314,-37,53.709,0.057,2,1,
practice,118,1,239,48,54.038000000000004,0.061,2,1,
practice,119,1,275,155,54.365,0.058,2,1,
practice,120,1,274,89,54.689,0.061,2,1,
practice,121,1,346,44,55.009,0.052000000000000005,2,1,
practice,122,1,158,37,55.333,0.058,2,1,
practice,123,1,256,65,55.660000000000004,0.057,2,1,
practice,124,1,-19,95,55.989000000000004,0.061,2,1,
practice,125,1,359,-220,56.311,0.058,2,1,
practice,126,1,429,279,56.643,0.063,2,1,
practice,127,1,50,-102,56.967,0.058,2,1,
practice,128,1,292,111,57.292,0.057,2,2,
practice,129,1,-287,89,57.51,0.031,2,2,
practice,130,1,140,4,57.724000000000004,0.026000000000000002,2,2,
practice,131,1,-328,-1,57.941,0.026000000000000002,2,2,
practice,132,1,-392,-18,58.156,0.028,2,2,
practice,133,1,-357,149,58.370000000000005,0.025,2,2,
practice,134,1,-261,95,58.591,0.031,2,2,
practice,135,1,-241,183,58.807,0.026000000000000002,2,2,
practice,136,1,-503,-182,59.026,0.027,2,2,
practice,137,1,-395,211,59.24,0.027,2,2,
practice,138,1,-404,-198,59.46,0.031,2,1,
practice,139,1,91,190,59.786,0.057,2,1,
practice,140,1,204,-130,60.11,0.053,2,1,
main,1,1,-192,-163,159.564,0.07100000000000001,2,2,
main,2,1,-568,42,159.779,0.024,2,2,
main,3,1,-94,-87,159.996,0.025,2,2,
main,4,1,-406,-364,160.21200000000002,0.028,2,2,
main,5,1,-472,190,160.427,0.027,2,2,
main,6,1,-356,-102,160.641,0.031,2,2,
main,7,1,-438,224,160.861,0.031,2,2,
main,8,1,-407,-67,161.076,0.024,2,2,
main,9,1,-14,331,161.291,0.027,2,2,
main,10,1,-284,151,161.52700000000002,0.047,2,2,
main,12,1,-166,-140,162.025,0.248,2,2,
main,13,1,-438,-188,162.242,0.023,2,2,
main,14,1,-556,136,162.45600000000002,0.024,2,2,
main,15,1,-471,-21,162.675,0.029,2,2,
main,16,1,-680,-38,162.89000000000001,0.028,2,2,
main,17,1,-447,-266,163.105,0.029,2,2,
main,18,1,-368,139,163.321,0.028,2,2,
main,19,1,-239,1,163.53900000000002,0.022,2,2,
main,20,1,-299,-132,163.75900000000001,0.037,2,2,
main,21,1,-601,-121,163.974,0.028,2,2,
main,22,1,-256,-59,164.18800000000002,0.031,2,2,
main,23,1,-344,51,164.409,0.03,2,2,
main,24,1,-280,359,164.62800000000001,0.032,2,2,
main,25,1,-6,147,164.846,0.03,2,2,
main,26,1,-498,-194,165.06300000000002,0.04,2,2,
main,27,1,-462,262,165.281,0.023,2,2,
main,28,1,-182,4,165.498,0.028,2,2,
main,29,1,-79,134,165.716,0.027,2,1,
main,30,1,502,224,166.041,0.069,2,1,
main,31,1,461,-116,166.365,0.06,2,1,
main,32,1,143,47,166.68800000000002,0.056,2,1,
main,33,1,463,213,167.013,0.056,2,1,
main,34,1,307,7,167.339,0.053,2,1,
main,35,1,372,-180,167.663,0.052000000000000005,2,1,
main,36,1,217,70,167.99,0.055,2,1,
main,37,1,177,174,168.31900000000002,0.055,2,1,
main,38,1,498,-318,168.642,0.052000000000000005,2,1,
main,39,1,323,-61,168.971,0.059000000000000004,2,1,
main,40,1,101,-126,169.296,0.051000000000000004,2,1,
main,41,1,239,188,169.619,0.049,2,1,
main,42,1,463,249,169.941,0.049,2,1,
main,43,1,179,-47,170.268,0.056,2,1,
main,44,1,160,-110,170.597,0.058,2,1,
main,45,1,367,313,170.922,0.052000000000000005,2,1,
main,46,1,152,173,171.252,0.054,2,1,
main,47,1,519,27,171.583,0.059000000000000004,2,1,
main,48,1,497,-50,171.912,0.06,2,1,
main,49,1,137,-163,172.235,0.052000000000000005,2,1,
main,50,1,285,57,172.56,0.054,2,2,
main,51,1,-639,96,172.778,0.023,2,2,
main,52,1,48,107,172.997,0.025,2,1,
main,53,1,347,-4,173.32,0.049,2,1,
main,54,1,63,27,173.649,0.058,2,1,
main,55,1,101,64,173.97,0.048,2,1,
main,56,1,528,-64,174.297,0.053,2,1,
main,57,1,417,-110,174.623,0.055,2,1,
main,58,1,384,152,174.951,0.055,2,1,
main,59,1,292,-206,175.28,0.058,2,1,
main,60,1,38,294,175.602,0.049,2,2,
main,61,1,-425,-41,175.822,0.027,2,2,
main,62,1,-230,18,176.037,0.02,2,2,
main,63,1,-383,241,176.25300000000001,0.023,2,1,
main,64,1,417,122,176.582,0.057,2,1,
main,65,1,257,71,176.907,0.053,2,1,
main,66,1,177,-150,177.231,0.054,2,2,
main,67,1,-294,-113,177.449,0.025,2,2,
main,68,1,-293,114,177.667,0.026000000000000002,2,2,
main,69,1,-71,-82,177.885,0.025,2,1,
main,70,1,289,228,178.211,0.051000000000000004,2,1,
main,71,1,362,-124,178.53900000000002,0.062,2,1,
main,72,1,392,190,178.86,0.049,2,1,
main,73,1,310,83,179.185,0.057,2,1,
main,74,1,574,68,179.511,0.054,2,2,
main,75,1,-321,-36,179.728,0.023,2,2,
main,76,1,-299,38,179.945,0.026000000000000002,2,2,
main,77,1,-624,-212,180.163,0.025,2,2,
main,78,1,-317,-153,180.38,0.023,2,1,
main,79,1,262,83,180.70600000000002,0.056,2,2,
main,80,1,-363,207,180.923,0.027,2,1,
main,81,1,313,3,181.249,0.053,2,1,
main,82,1,448,20,181.576,0.057,2,1,
main,83,1,207,100,181.90200000000002,0.054,2,1,
main,84,1,178,229,182.228,0.054,2,1,
main,85,1,301,12,182.55700000000002,0.058,2,1,
main,86,1,331,-157,182.886,0.055,2,1,
main,87,1,353,-111,183.215,0.053,2,1,
main,88,1,563,60,183.54,0.05,2,1,
main,89,1,250,46,183.861,0.051000000000000004,2,1,
main,90,1,363,-59,184.18800000000002,0.059000000000000004,2,1,
main,91,1,561,14,184.511,0.052000000000000005,2,1,
main,92,1,288,209,184.84,0.055,2,1,
main,93,1,-42,-82,185.162,0.05,2,1,
main,94,1,195,-82,185.482,0.058,2,1,
main,95,1,401,-53,185.805,0.06,2,1,
main,96,1,338,27,186.131,0.059000000000000004,2,1,
main,97,1,323,30,186.458,0.057,2,1,
main,98,1,-143,30,186.78300000000002,0.055,2,1,
main,99,1,325,-40,187.101,0.06,2,1,
main,100,1,309,-51,187.419,0.059000000000000004,2,2,
main,101,1,-432,105,187.64000000000001,0.035,2,2,
main,102,1,-239,330,187.858,0.025,2,2,
main,103,1,-373,-1,188.089,0.034,2,1,
main,104,1,205,-13,188.394,0.046,2,1,
main,105,1,384,-14,188.72400000000002,0.063,2,1,
main,106,1,429,87,189.047,0.053,2,1,
main,107,1,130,-41,189.376,0.063,2,1,
main,108,1,584,-100,189.703,0.058,2,2,
main,109,1,-287,134,189.919,0.027,2,2,
main,110,1,-341,-114,190.135,0.033,2,2,
main,111,1,-425,-188,190.358,0.034,2,2,
main,112,1,-396,-37,190.578,0.032,2,2,
main,113,1,-555,143,190.794,0.028,2,2,
main,114,1,-548,-130,191.007,0.024,2,2,
main,115,1,-323,-186,191.226,0.028,2,2,
main,116,1,-229,-240,191.439,0.03,2,2,
main,117,1,-332,-37,191.656,0.023,2,1,
main,118,1,277,48,191.981,0.064,2,1,
main,119,1,313,155,192.30100000000002,0.053,2,1,
main,120,1,312,89,192.624,0.061,2,1,
main,121,1,384,44,192.95000000000002,0.065,2,1,
main,122,1,196,37,193.28300000000002,0.067,2,1,
main,123,1,294,65,193.616,0.066,2,1,
main,124,1,19,95,193.949,0.064,2,1,
main,125,1,397,-220,194.279,0.068,2,1,
main,126,1,467,279,194.608,0.06,2,2,
main,127,1,-596,-102,194.829,0.032,2,2,
main,128,1,-354,111,195.041,0.028,2,2,
main,129,1,-325,89,195.252,0.025,2,2,
main,130,1,102,4,195.46800000000002,0.029,2,1,
main,131,1,318,-1,195.788,0.058,2,1,
main,132,1,254,-18,196.117,0.066,2,1,
main,133,1,289,149,196.446,0.063,2,1,
main,134,1,385,95,196.77,0.057,2,1,
main,135,1,405,183,197.09900000000002,0.062,2,1,
main,136,1,143,-182,197.429,0.064,2,1,
main,137,1,251,211,197.75300000000001,0.054,2,1,
main,138,1,242,-198,198.079,0.057,2,1,
main,139,1,129,190,198.404,0.052000000000000005,2,1,
main,140,1,242,-130,198.731,0.054,2,1,
main,141,1,164,-188,199.052,0.049,2,1,
main,142,1,273,-228,199.37800000000001,0.051000000000000004,2,1,
main,143,1,240,-53,199.702,0.052000000000000005,2,1,
main,144,1,530,-248,200.02700000000002,0.055,2,1,
main,145,1,384,-199,200.353,0.053,2,1,
main,146,1,442,-161,200.681,0.058,2,1,
main,147,1,210,143,201.006,0.054,2,1,
main,148,1,446,-289,201.332,0.055,2,1,
main,149,1,404,281,201.657,0.052000000000000005,2,1,
main,150,1,465,24,201.979,0.056,2,1,
main,151,1,218,115,202.306,0.055,2,1,
main,152,1,434,-99,202.63400000000001,0.062,2,1,
main,153,1,539,-22,202.958,0.061,2,1,
