Orginal File Name:,CT-JT1-2018_6_29_16_55.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_16_55,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,116,1,417,-240,59.550000000000004,0.035,1,2,
practice,117,1,314,-37,59.769,0.032,1,2,
practice,118,1,239,48,59.988,0.034,1,2,
practice,119,1,275,155,60.203,0.031,1,2,
practice,120,1,274,89,60.419000000000004,0.039,1,2,
practice,121,1,346,44,60.639,0.034,1,2,
practice,122,1,158,37,60.859,0.033,1,2,
practice,123,1,256,65,61.074,0.027,1,2,
practice,124,1,-19,95,61.295,0.034,1,2,
practice,125,1,359,-220,61.512,0.036000000000000004,1,2,
practice,126,1,429,279,61.728,0.037,1,2,
practice,127,1,50,-102,61.943,0.035,1,2,
practice,128,1,292,111,62.158,0.027,1,1,
practice,129,1,-287,89,62.482,0.059000000000000004,1,1,
practice,130,1,140,4,62.809000000000005,0.067,1,1,
practice,131,1,-328,-1,63.134,0.066,1,1,
practice,132,1,-392,-18,63.459,0.066,1,1,
practice,133,1,-357,149,63.78,0.066,1,1,
practice,134,1,-261,95,64.101,0.07100000000000001,1,1,
practice,135,1,-241,183,64.428,0.063,1,1,
practice,136,1,-503,-182,64.751,0.064,1,1,
practice,137,1,-395,211,65.075,0.068,1,1,
practice,138,1,-404,-198,65.394,0.053,1,2,
practice,139,1,91,190,65.608,0.027,1,2,
practice,140,1,204,-130,65.824,0.03,1,2,
main,1,4,-469,83,72.007,0.038,1,1,
main,2,4,-488,75,72.331,0.052000000000000005,1,1,
main,3,4,-370,-172,72.658,0.063,1,1,
main,4,4,-281,187,72.987,0.068,1,1,
main,5,4,-589,236,73.315,0.062,1,1,
main,6,4,-360,-211,73.64,0.066,1,1,
main,7,4,-207,380,73.968,0.07100000000000001,1,1,
main,8,4,-357,-213,74.294,0.07200000000000001,1,2,
main,9,4,228,44,74.514,0.038,1,1,
main,10,4,-373,123,74.84100000000001,0.054,1,1,
main,12,4,150,-342,75.275,0.10200000000000001,1,2,
main,13,4,172,-163,75.492,0.025,1,2,
main,14,4,440,-146,75.714,0.031,1,2,
main,15,4,525,219,75.93,0.026000000000000002,1,2,
main,16,4,321,-204,76.149,0.03,1,2,
main,17,4,390,90,76.369,0.029,1,2,
main,18,4,207,261,76.589,0.038,1,2,
main,19,4,263,31,76.804,0.023,1,1,
main,20,4,-558,50,77.13,0.055,1,2,
main,21,4,196,-186,77.345,0.024,1,2,
main,22,4,652,-113,77.561,0.025,1,2,
main,23,4,299,235,77.779,0.027,1,2,
main,24,4,23,35,77.994,0.023,1,2,
main,25,4,374,-36,78.21000000000001,0.026000000000000002,1,2,
main,26,4,407,229,78.431,0.03,1,2,
main,27,4,402,87,78.649,0.025,1,2,
main,28,4,63,54,78.865,0.023,1,2,
main,29,4,629,-83,79.083,0.024,1,1,
main,30,4,-243,165,79.414,0.059000000000000004,1,2,
main,31,4,474,13,79.631,0.024,1,2,
main,32,4,26,-189,79.851,0.032,1,2,
main,33,4,450,-76,80.068,0.026000000000000002,1,2,
main,34,4,545,22,80.285,0.026000000000000002,1,2,
main,35,4,351,70,80.5,0.022,1,2,
main,36,4,568,265,80.72,0.032,1,1,
main,37,4,-563,-20,81.044,0.053,1,1,
main,38,4,-374,-181,81.368,0.058,1,1,
main,39,4,-10,-73,81.69500000000001,0.064,1,1,
