Version:,2,Orginal File Name:,CT-JTCTTEST-T2.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_29_19_56,Parameter File:,None:FromPsyToolkit
trial_type,trial_number,block_num,egg_x_position,egg_y_position,absolute_time_sec,response_time_sec,response,result
practice,115,1,323,-186,47.848,0.059000000000000004,2,1,
practice,116,1,417,-240,48.171,0.063,2,1,
practice,117,1,314,-37,48.497,0.063,2,1,
practice,118,1,239,48,48.827,0.065,2,1,
practice,119,1,275,155,49.153,0.073,2,1,
practice,120,1,274,89,49.477000000000004,0.068,2,1,
practice,121,1,346,44,49.800000000000004,0.063,2,1,
practice,122,1,158,37,50.123,0.051000000000000004,2,1,
practice,123,1,256,65,50.447,0.07,2,1,
practice,124,1,-19,95,50.771,0.061,2,1,
practice,125,1,359,-220,51.101,0.07200000000000001,2,1,
practice,126,1,429,279,51.417,0.048,2,1,
practice,127,1,50,-102,51.745000000000005,0.064,2,1,
practice,128,1,292,111,52.072,0.065,2,2,
practice,129,1,-287,89,52.289,0.038,2,2,
practice,130,1,140,4,52.51,0.033,2,2,
practice,131,1,-328,-1,52.725,0.029,2,2,
practice,132,1,-392,-18,52.937,0.025,2,2,
practice,133,1,-357,149,53.155,0.036000000000000004,2,2,
practice,134,1,-261,95,53.366,0.025,2,2,
practice,135,1,-241,183,53.586,0.036000000000000004,2,2,
practice,136,1,-503,-182,53.803000000000004,0.04,2,2,
practice,137,1,-395,211,54.016,0.033,2,2,
practice,138,1,-404,-198,54.230000000000004,0.036000000000000004,2,1,
practice,139,1,91,190,54.557,0.069,2,1,
practice,140,1,204,-130,54.881,0.065,2,1,
main,1,5,-107,215,65.006,0.018000000000000002,2,2,
main,2,5,-326,-80,65.21900000000001,0.023,2,1,
main,3,5,269,-176,65.544,0.056,2,2,
main,4,5,-365,4,65.765,0.034,2,1,
main,5,5,459,-76,66.087,0.059000000000000004,2,1,
main,6,5,364,136,66.415,0.055,2,2,
main,7,5,-274,-192,66.629,0.022,2,1,
main,8,5,501,-58,66.958,0.064,2,2,
main,9,5,-388,-270,67.172,0.034,2,1,
main,10,5,234,-88,67.495,0.058,2,1,
main,12,5,-176,-31,67.926,0.101,2,1,
main,13,5,222,147,68.251,0.062,2,2,
main,14,5,-252,-102,68.46900000000001,0.025,2,1,
main,15,5,314,23,68.788,0.049,2,1,
main,16,5,135,-540,69.116,0.062,2,2,
main,17,5,-208,-129,69.334,0.029,2,1,
main,18,5,147,-216,69.66,0.062,2,2,
main,19,5,-497,-23,69.874,0.028,2,1,
main,20,5,245,96,70.20100000000001,0.069,2,2,
main,21,5,-398,275,70.42,0.032,2,2,
main,22,5,-183,-86,70.637,0.035,2,2,
main,23,5,-77,-98,70.852,0.033,2,1,
main,24,5,258,72,71.181,0.066,2,2,
main,25,5,124,-24,71.395,0.025,2,1,
main,26,5,327,73,71.726,0.063,2,2,
main,27,5,-148,-20,71.94500000000001,0.028,2,1,
main,28,5,277,-228,72.272,0.065,2,2,
main,29,5,-384,-425,72.49,0.029,2,1,
main,30,5,511,127,72.82000000000001,0.07,2,1,
main,31,5,400,91,73.14,0.054,2,2,
main,32,5,-406,-257,73.354,0.023,2,1,
main,33,5,225,221,73.673,0.049,2,2,
main,34,5,-425,-20,73.89,0.029,2,1,
main,35,5,233,-140,74.217,0.064,2,2,
main,36,5,-160,-99,74.432,0.023,2,1,
main,37,5,457,32,74.757,0.059000000000000004,2,2,
main,38,5,-120,-208,74.974,0.027,2,2,
main,39,5,-28,3,75.193,0.027,2,1,
main,40,5,80,-8,75.515,0.054,2,2,
main,41,5,-324,193,75.732,0.027,2,1,
main,42,5,326,-323,76.057,0.063,2,2,
main,43,5,-143,35,76.27,0.022,2,1,
main,44,5,476,-538,76.598,0.057,2,2,
main,45,5,-15,-71,76.815,0.031,2,2,
main,46,5,-222,-258,77.03,0.027,2,1,
main,47,5,241,62,77.355,0.059000000000000004,2,2,
main,48,5,-360,-116,77.57000000000001,0.028,2,2,
main,49,5,-492,-52,77.784,0.02,2,1,
main,50,5,140,149,78.11,0.058,2,1,
main,51,5,36,153,78.435,0.06,2,2,
main,52,5,-328,-27,78.649,0.022,2,1,
main,53,5,447,-2,78.97500000000001,0.058,2,2,
main,54,5,-373,-30,79.19500000000001,0.029,2,1,
main,55,5,451,-30,79.525,0.066,2,2,
main,56,5,-457,-181,79.742,0.029,2,1,
main,57,5,608,-294,80.06700000000001,0.067,2,2,
main,58,5,-587,-174,80.288,0.033,2,2,
main,59,5,-396,-121,80.504,0.028,2,1,
main,60,5,234,220,80.828,0.063,2,2,
main,61,5,-573,44,81.048,0.03,2,1,
main,62,5,57,31,81.373,0.061,2,2,
main,63,5,-418,-47,81.59,0.026000000000000002,2,1,
main,64,5,399,9,81.912,0.054,2,1,
main,65,5,134,-200,82.237,0.062,2,2,
main,66,5,-201,29,82.45700000000001,0.026000000000000002,2,1,
main,67,5,233,213,82.78,0.052000000000000005,2,1,
main,68,5,332,-224,83.10600000000001,0.055,2,2,
