Orginal File Name:,DP-JTESTDP-2018_6_27_20_47.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_6_27_20_47,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
18,10011001,4,69.833,NaN,NA,NA,
18,10011001,5,70.034,NaN,NA,25480.bmp,A57.bmp,
18,10011001,6,71.036,NaN,NA,NA,
18,10011001,7,71.381,0.34400000000000003,1,1,
19,10000000,2,71.395,NaN,NA,NA,
19,10000000,3,71.395,NaN,NA,NA,
19,10000000,4,72.397,NaN,NA,NA,
19,10000000,5,72.599,NaN,NA,27580.bmp,A91.bmp,
19,10000000,6,73.101,NaN,NA,NA,
19,10000000,7,74.106,1.0030000000000001,-1,1,
20,01100010,2,74.12,NaN,NA,NA,
20,01100010,3,74.12,NaN,NA,NA,
20,01100010,4,75.121,NaN,NA,NA,
20,01100010,5,75.32300000000001,NaN,NA,16415.bmp,A289.bmp,
20,01100010,6,75.825,NaN,NA,NA,
20,01100010,7,77.071,1.245,-1,1,
21,01110101,2,77.086,NaN,NA,NA,
21,01110101,3,77.086,NaN,NA,NA,
21,01110101,4,78.08800000000001,NaN,NA,NA,
21,01110101,5,78.29,NaN,NA,135501.bmp,A269.bmp,
21,01110101,6,78.791,NaN,NA,NA,
21,01110101,7,80.234,1.441,1,2,
21,01110101,8,80.234,NaN,NA,NA,
22,00100111,2,83.254,NaN,NA,NA,
22,00100111,3,83.254,NaN,NA,NA,
22,00100111,4,84.256,NaN,NA,NA,
22,00100111,5,84.458,NaN,NA,065702.bmp,A157.bmp,
22,00100111,6,84.96000000000001,NaN,NA,NA,
22,00100111,7,85.967,1.0050000000000001,-1,1,
23,00010100,2,85.98100000000001,NaN,NA,NA,
23,00010100,3,85.98100000000001,NaN,NA,NA,
23,00010100,4,86.983,NaN,NA,NA,
23,00010100,5,87.185,NaN,NA,02309.bmp,A111.bmp,
23,00010100,6,87.685,NaN,NA,NA,
23,00010100,7,88.908,1.22,1,1,
24,01011111,2,88.922,NaN,NA,NA,
24,01011111,3,88.922,NaN,NA,NA,
24,01011111,4,89.924,NaN,NA,NA,
24,01011111,5,90.126,NaN,NA,13001.bmp,A235.bmp,
24,01011111,6,91.127,NaN,NA,NA,
24,01011111,7,91.884,0.754,1,2,
24,01011111,8,91.884,NaN,NA,NA,
25,01110100,2,94.904,NaN,NA,NA,
25,01110100,3,94.904,NaN,NA,NA,
25,01110100,4,95.906,NaN,NA,NA,
25,01110100,5,96.107,NaN,NA,13301.bmp,A261.bmp,
25,01110100,6,96.608,NaN,NA,NA,
25,01110100,7,97.946,1.336,1,2,
