Orginal File Name:,DP-JTESTPANAS-2018_51_27_11_34.csv,UserAGENT:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15,IP: ::1,Time:,2018_51_27_11_34,Parameter File:,None:FromPsyToolkit,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right] 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
18,01111100,5,86.297,NaN,NA,12205.bmp,A221.bmp,
18,01111100,6,87.298,NaN,NA,NA,
18,01111100,7,87.406,0.107,1,2,
18,01111100,8,87.406,NaN,NA,NA,
19,01100000,2,90.426,NaN,NA,NA,
19,01100000,3,90.426,NaN,NA,NA,
19,01100000,4,91.427,NaN,NA,NA,
19,01100000,5,91.629,NaN,NA,19911.bmp,A329.bmp,
19,01100000,6,92.131,NaN,NA,NA,
19,01100000,7,92.196,0.064,-1,2,
19,01100000,8,92.196,NaN,NA,NA,
20,00000001,2,95.217,NaN,NA,NA,
20,00000001,3,95.217,NaN,NA,NA,
20,00000001,4,96.218,NaN,NA,NA,
20,00000001,5,96.419,NaN,NA,08232.bmp,A211.bmp,
20,00000001,6,96.921,NaN,NA,NA,
20,00000001,7,96.994,0.07200000000000001,-1,1,
21,01001010,2,97.007,NaN,NA,NA,
21,01001010,3,97.008,NaN,NA,NA,
21,01001010,4,98.008,NaN,NA,NA,
21,01001010,5,98.21000000000001,NaN,NA,16313.bmp,A283.bmp,
21,01001010,6,99.212,NaN,NA,NA,
21,01001010,7,99.28,0.066,-1,2,
21,01001010,8,99.28,NaN,NA,NA,
22,00110101,2,102.3,NaN,NA,NA,
22,00110101,3,102.3,NaN,NA,NA,
22,00110101,4,103.301,NaN,NA,NA,
22,00110101,5,103.503,NaN,NA,07003.bmp,A161.bmp,
22,00110101,6,104.004,NaN,NA,NA,
22,00110101,7,104.081,0.076,1,2,
22,00110101,8,104.081,NaN,NA,NA,
23,00111101,2,107.102,NaN,NA,NA,
23,00111101,3,107.102,NaN,NA,NA,
23,00111101,4,108.10300000000001,NaN,NA,NA,
23,00111101,5,108.303,NaN,NA,05920.bmp,A153.bmp,
23,00111101,6,109.304,NaN,NA,NA,
23,00111101,7,109.392,0.08700000000000001,1,2,
23,00111101,8,109.392,NaN,NA,NA,
24,10010111,2,112.412,NaN,NA,NA,
24,10010111,3,112.412,NaN,NA,NA,
24,10010111,4,113.414,NaN,NA,NA,
24,10010111,5,113.614,NaN,NA,21722.bmp,A35.bmp,
24,10010111,6,114.11500000000001,NaN,NA,NA,
24,10010111,7,114.19200000000001,0.075,1,2,
24,10010111,8,114.19200000000001,NaN,NA,NA,
25,00110010,2,117.21000000000001,NaN,NA,NA,
25,00110010,3,117.21000000000001,NaN,NA,NA,
25,00110010,4,118.211,NaN,NA,NA,
25,00110010,5,118.412,NaN,NA,04004.bmp,A143.bmp,
25,00110010,6,118.913,NaN,NA,NA,
25,00110010,7,118.982,0.068,1,1,
26,01111100,2,118.995,NaN,NA,NA,
26,01111100,3,118.995,NaN,NA,NA,
26,01111100,4,119.997,NaN,NA,NA,
26,01111100,5,120.19800000000001,NaN,NA,12205.bmp,A221.bmp,
26,01111100,6,121.2,NaN,NA,NA,
26,01111100,7,121.26,0.059000000000000004,1,2,
26,01111100,8,121.26,NaN,NA,NA,
27,10000101,2,124.28,NaN,NA,NA,
27,10000101,3,124.28,NaN,NA,NA,
27,10000101,4,125.281,NaN,NA,NA,
27,10000101,5,125.483,NaN,NA,28170.bmp,A93.bmp,
27,10000101,6,125.983,NaN,NA,NA,
27,10000101,7,126.026,0.041,-1,1,
28,10111010,2,126.04,NaN,NA,NA,
28,10111010,3,126.04,NaN,NA,NA,
28,10111010,4,127.041,NaN,NA,NA,
28,10111010,5,127.24300000000001,NaN,NA,22092.bmp,A367.bmp,
28,10111010,6,128.244,NaN,NA,NA,
28,10111010,7,128.303,0.056,1,1,
29,00110010,2,128.316,NaN,NA,NA,
29,00110010,3,128.316,NaN,NA,NA,
29,00110010,4,129.316,NaN,NA,NA,
29,00110010,5,129.517,NaN,NA,04004.bmp,A143.bmp,
29,00110010,6,130.017,NaN,NA,NA,
29,00110010,7,130.028,0.01,1,1,
30,01000000,2,130.041,NaN,NA,NA,
30,01000000,3,130.041,NaN,NA,NA,
30,01000000,4,131.042,NaN,NA,NA,
30,01000000,5,131.244,NaN,NA,16021.bmp,A27.bmp,
30,01000000,6,131.744,NaN,NA,NA,
30,01000000,7,131.768,0.022,-1,1,
31,10011110,2,131.781,NaN,NA,NA,
31,10011110,3,131.781,NaN,NA,NA,
31,10011110,4,132.782,NaN,NA,NA,
31,10011110,5,132.984,NaN,NA,22442.bmp,A381.bmp,
31,10011110,6,133.985,NaN,NA,NA,
31,10011110,7,134.054,0.068,1,2,
31,10011110,8,134.054,NaN,NA,NA,
32,01100001,2,137.072,NaN,NA,NA,
32,01100001,3,137.072,NaN,NA,NA,
32,01100001,4,138.073,NaN,NA,NA,
32,01100001,5,138.275,NaN,NA,123751.bmp,A225.bmp,
32,01100001,6,138.77700000000002,NaN,NA,NA,
32,01100001,7,138.834,0.056,-1,2,
32,01100001,8,138.834,NaN,NA,NA,
33,10100001,2,141.854,NaN,NA,NA,
33,10100001,3,141.854,NaN,NA,NA,
33,10100001,4,142.855,NaN,NA,NA,
33,10100001,5,143.056,NaN,NA,28191.bmp,A97.bmp,
33,10100001,6,143.55700000000002,NaN,NA,NA,
33,10100001,7,143.596,0.038,-1,2,
33,10100001,8,143.596,NaN,NA,NA,
34,00101011,2,146.617,NaN,NA,NA,
34,00101011,3,146.617,NaN,NA,NA,
34,00101011,4,147.617,NaN,NA,NA,
34,00101011,5,147.81900000000002,NaN,NA,02595.bmp,A129.bmp,
34,00101011,6,148.82,NaN,NA,NA,
34,00101011,7,148.922,0.101,-1,1,
35,00100111,2,148.936,NaN,NA,NA,
35,00100111,3,148.936,NaN,NA,NA,
35,00100111,4,149.937,NaN,NA,NA,
35,00100111,5,150.139,NaN,NA,065702.bmp,A157.bmp,
35,00100111,6,150.64000000000001,NaN,NA,NA,
35,00100111,7,150.65200000000002,0.01,-1,1,
36,10101100,2,150.665,NaN,NA,NA,
36,10101100,3,150.665,NaN,NA,NA,
36,10101100,4,151.666,NaN,NA,NA,
36,10101100,5,151.868,NaN,NA,22222.bmp,A37.bmp,
36,10101100,6,152.869,NaN,NA,NA,
36,10101100,7,152.946,0.075,-1,2,
36,10101100,8,152.946,NaN,NA,NA,
37,01001000,2,155.965,NaN,NA,NA,
37,01001000,3,155.965,NaN,NA,NA,
37,01001000,4,156.966,NaN,NA,NA,
37,01001000,5,157.167,NaN,NA,12703.bmp,A229.bmp,
37,01001000,6,158.169,NaN,NA,NA,
37,01001000,7,158.258,0.088,-1,1,
38,01110101,2,158.272,NaN,NA,NA,
38,01110101,3,158.272,NaN,NA,NA,
38,01110101,4,159.273,NaN,NA,NA,
38,01110101,5,159.474,NaN,NA,135501.bmp,A269.bmp,
38,01110101,6,159.975,NaN,NA,NA,
38,01110101,7,159.993,0.017,1,2,
38,01110101,8,159.993,NaN,NA,NA,
39,10010000,2,163.013,NaN,NA,NA,
39,10010000,3,163.013,NaN,NA,NA,
39,10010000,4,164.013,NaN,NA,NA,
39,10010000,5,164.215,NaN,NA,223752.bmp,A375.bmp,
39,10010000,6,164.717,NaN,NA,NA,
39,10010000,7,164.775,0.057,1,1,
40,10000101,2,164.78900000000002,NaN,NA,NA,
40,10000101,3,164.78900000000002,NaN,NA,NA,
40,10000101,4,165.79,NaN,NA,NA,
40,10000101,5,165.992,NaN,NA,28170.bmp,A93.bmp,
40,10000101,6,166.494,NaN,NA,NA,
40,10000101,7,166.516,0.021,-1,1,
41,10111100,2,166.53,NaN,NA,NA,
41,10111100,3,166.53,NaN,NA,NA,
41,10111100,4,167.531,NaN,NA,NA,
41,10111100,5,167.733,NaN,NA,24640.bmp,A41.bmp,
41,10111100,6,168.734,NaN,NA,NA,
41,10111100,7,168.80700000000002,0.07100000000000001,1,2,
41,10111100,8,168.80700000000002,NaN,NA,NA,
42,01100100,2,171.826,NaN,NA,NA,
42,01100100,3,171.826,NaN,NA,NA,
42,01100100,4,172.827,NaN,NA,NA,
42,01100100,5,173.028,NaN,NA,129001.bmp,A233.bmp,
42,01100100,6,173.53,NaN,NA,NA,
42,01100100,7,173.582,0.051000000000000004,-1,2,
42,01100100,8,173.582,NaN,NA,NA,
43,10010111,2,176.602,NaN,NA,NA,
43,10010111,3,176.602,NaN,NA,NA,
43,10010111,4,177.604,NaN,NA,NA,
43,10010111,5,177.805,NaN,NA,21722.bmp,A35.bmp,
43,10010111,6,178.306,NaN,NA,NA,
43,10010111,7,178.367,0.059000000000000004,1,2,
43,10010111,8,178.367,NaN,NA,NA,
44,01101100,2,181.387,NaN,NA,NA,
44,01101100,3,181.387,NaN,NA,NA,
44,01101100,4,182.389,NaN,NA,NA,
44,01101100,5,182.591,NaN,NA,16540.bmp,A291.bmp,
44,01101100,6,183.591,NaN,NA,NA,
44,01101100,7,183.701,0.108,-1,2,
44,01101100,8,183.701,NaN,NA,NA,
45,00100110,2,186.721,NaN,NA,NA,
45,00100110,3,186.721,NaN,NA,NA,
45,00100110,4,187.722,NaN,NA,NA,
45,00100110,5,187.923,NaN,NA,02397.bmp,A115.bmp,
45,00100110,6,188.425,NaN,NA,NA,
45,00100110,7,188.493,0.066,-1,1,
46,00111010,2,188.506,NaN,NA,NA,
46,00111010,3,188.506,NaN,NA,NA,
46,00111010,4,189.508,NaN,NA,NA,
46,00111010,5,189.708,NaN,NA,08160.bmp,A21.bmp,
46,00111010,6,190.71,NaN,NA,NA,
46,00111010,7,190.773,0.062,1,1,
47,10100011,2,190.787,NaN,NA,NA,
47,10100011,3,190.787,NaN,NA,NA,
47,10100011,4,191.78900000000002,NaN,NA,NA,
47,10100011,5,191.99,NaN,NA,25711.bmp,A69.bmp,
47,10100011,6,192.492,NaN,NA,NA,
47,10100011,7,192.52100000000002,0.028,-1,1,
48,00000000,2,192.535,NaN,NA,NA,
48,00000000,3,192.535,NaN,NA,NA,
48,00000000,4,193.537,NaN,NA,NA,
48,00000000,5,193.739,NaN,NA,07017.bmp,A17.bmp,
48,00000000,6,194.239,NaN,NA,NA,
48,00000000,7,194.26500000000001,0.025,-1,1,
49,01001011,2,194.28,NaN,NA,NA,
49,01001011,3,194.28,NaN,NA,NA,
49,01001011,4,195.281,NaN,NA,NA,
49,01001011,5,195.483,NaN,NA,13191.bmp,A25.bmp,
49,01001011,6,196.484,NaN,NA,NA,
49,01001011,7,196.548,0.063,-1,2,
49,01001011,8,196.548,NaN,NA,NA,
50,10101111,2,199.568,NaN,NA,NA,
50,10101111,3,199.568,NaN,NA,NA,
50,10101111,4,200.57,NaN,NA,NA,
50,10101111,5,200.772,NaN,NA,27475.bmp,A87.bmp,
50,10101111,6,201.772,NaN,NA,NA,
50,10101111,7,201.778,0.004,-1,1,
51,00101111,2,201.792,NaN,NA,NA,
51,00101111,3,201.792,NaN,NA,NA,
51,00101111,4,202.794,NaN,NA,NA,
51,00101111,5,202.995,NaN,NA,07491.bmp,A205.bmp,
51,00101111,6,203.996,NaN,NA,NA,
51,00101111,7,204.058,0.061,-1,1,
52,01111000,2,204.072,NaN,NA,NA,
52,01111000,3,204.072,NaN,NA,NA,
52,01111000,4,205.074,NaN,NA,NA,
52,01111000,5,205.276,NaN,NA,16312.bmp,A281.bmp,
52,01111000,6,206.278,NaN,NA,NA,
52,01111000,7,206.335,0.055,1,2,
52,01111000,8,206.335,NaN,NA,NA,
53,00001010,2,209.35500000000002,NaN,NA,NA,
53,00001010,3,209.35500000000002,NaN,NA,NA,
53,00001010,4,210.357,NaN,NA,NA,
53,00001010,5,210.559,NaN,NA,02880.bmp,A139.bmp,
53,00001010,6,211.56,NaN,NA,NA,
53,00001010,7,211.572,0.011,-1,2,
53,00001010,8,211.572,NaN,NA,NA,
54,00101011,2,214.592,NaN,NA,NA,
54,00101011,3,214.592,NaN,NA,NA,
54,00101011,4,215.59300000000002,NaN,NA,NA,
54,00101011,5,215.79500000000002,NaN,NA,02595.bmp,A129.bmp,
54,00101011,6,216.796,NaN,NA,NA,
54,00101011,7,216.8,0.003,-1,1,
55,00110000,2,216.817,NaN,NA,NA,
55,00110000,3,216.817,NaN,NA,NA,
55,00110000,4,217.818,NaN,NA,NA,
55,00110000,5,218.02,NaN,NA,02038.bmp,A105.bmp,
55,00110000,6,218.522,NaN,NA,NA,
55,00110000,7,218.54500000000002,0.021,1,2,
55,00110000,8,218.54500000000002,NaN,NA,NA,
56,01001110,2,221.565,NaN,NA,NA,
56,01001110,3,221.565,NaN,NA,NA,
56,01001110,4,222.566,NaN,NA,NA,
56,01001110,5,222.768,NaN,NA,16263.bmp,A277.bmp,
56,01001110,6,223.769,NaN,NA,NA,
56,01001110,7,223.876,0.105,-1,2,
56,01001110,8,223.876,NaN,NA,NA,
57,00000000,2,226.89600000000002,NaN,NA,NA,
57,00000000,3,226.89600000000002,NaN,NA,NA,
57,00000000,4,227.897,NaN,NA,NA,
57,00000000,5,228.098,NaN,NA,07017.bmp,A17.bmp,
57,00000000,6,228.59900000000002,NaN,NA,NA,
57,00000000,7,228.668,0.068,-1,1,
58,01100000,2,228.68200000000002,NaN,NA,NA,
58,01100000,3,228.68200000000002,NaN,NA,NA,
58,01100000,4,229.683,NaN,NA,NA,
58,01100000,5,229.885,NaN,NA,19911.bmp,A329.bmp,
58,01100000,6,230.387,NaN,NA,NA,
58,01100000,7,230.412,0.024,-1,2,
58,01100000,8,230.412,NaN,NA,NA,
59,01111101,2,233.433,NaN,NA,NA,
59,01111101,3,233.433,NaN,NA,NA,
59,01111101,4,234.434,NaN,NA,NA,
59,01111101,5,234.635,NaN,NA,19600.bmp,A327.bmp,
59,01111101,6,235.636,NaN,NA,NA,
59,01111101,7,235.655,0.017,1,2,
59,01111101,8,235.655,NaN,NA,NA,
60,01001110,2,238.674,NaN,NA,NA,
60,01001110,3,238.674,NaN,NA,NA,
60,01001110,4,239.67600000000002,NaN,NA,NA,
60,01001110,5,239.877,NaN,NA,16263.bmp,A277.bmp,
60,01001110,6,240.87800000000001,NaN,NA,NA,
60,01001110,7,240.883,0.003,-1,2,
60,01001110,8,240.883,NaN,NA,NA,
61,00001110,2,243.903,NaN,NA,NA,
61,00001110,3,243.903,NaN,NA,NA,
61,00001110,4,244.904,NaN,NA,NA,
61,00001110,5,245.104,NaN,NA,02495.bmp,A123.bmp,
61,00001110,6,246.106,NaN,NA,NA,
61,00001110,7,246.193,0.08600000000000001,-1,2,
61,00001110,8,246.193,NaN,NA,NA,
62,10011101,2,249.214,NaN,NA,NA,
62,10011101,3,249.214,NaN,NA,NA,
62,10011101,4,250.215,NaN,NA,NA,
62,10011101,5,250.417,NaN,NA,22057.bmp,A363.bmp,
62,10011101,6,251.418,NaN,NA,NA,
62,10011101,7,251.511,0.092,1,1,
63,10111010,2,251.525,NaN,NA,NA,
63,10111010,3,251.525,NaN,NA,NA,
63,10111010,4,252.526,NaN,NA,NA,
63,10111010,5,252.728,NaN,NA,22092.bmp,A367.bmp,
63,10111010,6,253.73000000000002,NaN,NA,NA,
63,10111010,7,253.785,0.053,1,1,
64,00001100,2,253.799,NaN,NA,NA,
64,00001100,3,253.799,NaN,NA,NA,
64,00001100,4,254.8,NaN,NA,NA,
64,00001100,5,255.002,NaN,NA,07009.bmp,A165.bmp,
64,00001100,6,256.003,NaN,NA,NA,
64,00001100,7,256.06600000000003,0.062,-1,1,
65,01011010,2,256.08,NaN,NA,NA,
65,01011010,3,256.08,NaN,NA,NA,
65,01011010,4,257.082,NaN,NA,NA,
65,01011010,5,257.284,NaN,NA,13215.bmp,A253.bmp,
65,01011010,6,258.286,NaN,NA,NA,
65,01011010,7,258.362,0.075,1,2,
65,01011010,8,258.362,NaN,NA,NA,
66,01100010,2,261.38100000000003,NaN,NA,NA,
66,01100010,3,261.38100000000003,NaN,NA,NA,
66,01100010,4,262.383,NaN,NA,NA,
66,01100010,5,262.583,NaN,NA,16415.bmp,A289.bmp,
66,01100010,6,263.085,NaN,NA,NA,
66,01100010,7,263.151,0.065,-1,1,
67,01111011,2,263.165,NaN,NA,NA,
67,01111011,3,263.165,NaN,NA,NA,
67,01111011,4,264.16700000000003,NaN,NA,NA,
67,01111011,5,264.368,NaN,NA,17380.bmp,A301.bmp,
67,01111011,6,265.37,NaN,NA,NA,
67,01111011,7,265.431,0.06,1,1,
68,01001001,2,265.445,NaN,NA,NA,
68,01001001,3,265.445,NaN,NA,NA,
68,01001001,4,266.446,NaN,NA,NA,
68,01001001,5,266.647,NaN,NA,16563.bmp,A293.bmp,
68,01001001,6,267.648,NaN,NA,NA,
68,01001001,7,267.729,0.08,-1,1,
69,00111101,2,267.743,NaN,NA,NA,
69,00111101,3,267.743,NaN,NA,NA,
69,00111101,4,268.745,NaN,NA,NA,
69,00111101,5,268.946,NaN,NA,05920.bmp,A153.bmp,
69,00111101,6,269.948,NaN,NA,NA,
69,00111101,7,270.019,0.07,1,2,
69,00111101,8,270.019,NaN,NA,NA,
70,00010010,2,273.04,NaN,NA,NA,
70,00010010,3,273.04,NaN,NA,NA,
70,00010010,4,274.041,NaN,NA,NA,
70,00010010,5,274.242,NaN,NA,07001.bmp,A159.bmp,
70,00010010,6,274.743,NaN,NA,NA,
70,00010010,7,274.8,0.056,1,2,
70,00010010,8,274.8,NaN,NA,NA,
71,10011010,2,277.82,NaN,NA,NA,
71,10011010,3,277.82,NaN,NA,NA,
71,10011010,4,278.821,NaN,NA,NA,
71,10011010,5,279.022,NaN,NA,21450.bmp,A335.bmp,
71,10011010,6,280.023,NaN,NA,NA,
71,10011010,7,280.12,0.096,1,2,
71,10011010,8,280.12,NaN,NA,NA,
72,00111010,2,283.13800000000003,NaN,NA,NA,
72,00111010,3,283.13800000000003,NaN,NA,NA,
72,00111010,4,284.14,NaN,NA,NA,
72,00111010,5,284.341,NaN,NA,08160.bmp,A21.bmp,
72,00111010,6,285.343,NaN,NA,NA,
72,00111010,7,285.423,0.079,1,1,
73,10111111,2,285.437,NaN,NA,NA,
73,10111111,3,285.437,NaN,NA,NA,
73,10111111,4,286.439,NaN,NA,NA,
73,10111111,5,286.64,NaN,NA,25450.bmp,A53.bmp,
73,10111111,6,287.642,NaN,NA,NA,
73,10111111,7,287.708,0.065,1,1,
74,10001010,2,287.721,NaN,NA,NA,
74,10001010,3,287.721,NaN,NA,NA,
74,10001010,4,288.722,NaN,NA,NA,
74,10001010,5,288.924,NaN,NA,22050.bmp,A359.bmp,
74,10001010,6,289.926,NaN,NA,NA,
74,10001010,7,289.986,0.058,-1,2,
74,10001010,8,289.986,NaN,NA,NA,
75,10111110,2,293.00600000000003,NaN,NA,NA,
75,10111110,3,293.00600000000003,NaN,NA,NA,
75,10111110,4,294.008,NaN,NA,NA,
75,10111110,5,294.209,NaN,NA,28178.bmp,A95.bmp,
75,10111110,6,295.21,NaN,NA,NA,
75,10111110,7,295.21500000000003,0.004,1,1,
76,10110110,2,295.231,NaN,NA,NA,
76,10110110,3,295.231,NaN,NA,NA,
76,10110110,4,296.232,NaN,NA,NA,
76,10110110,5,296.433,NaN,NA,22395.bmp,A379.bmp,
76,10110110,6,296.935,NaN,NA,NA,
76,10110110,7,296.969,0.033,1,1,
77,00001001,2,296.983,NaN,NA,NA,
77,00001001,3,296.983,NaN,NA,NA,
77,00001001,4,297.984,NaN,NA,NA,
77,00001001,5,298.186,NaN,NA,02480.bmp,A119.bmp,
77,00001001,6,299.188,NaN,NA,NA,
77,00001001,7,299.257,0.068,-1,1,
78,00111010,2,299.271,NaN,NA,NA,
78,00111010,3,299.271,NaN,NA,NA,
78,00111010,4,300.273,NaN,NA,NA,
78,00111010,5,300.475,NaN,NA,08160.bmp,A21.bmp,
78,00111010,6,301.47700000000003,NaN,NA,NA,
78,00111010,7,301.546,0.068,1,1,
79,00100111,2,301.56,NaN,NA,NA,
79,00100111,3,301.56,NaN,NA,NA,
79,00100111,4,302.562,NaN,NA,NA,
79,00100111,5,302.76300000000003,NaN,NA,065702.bmp,A157.bmp,
79,00100111,6,303.265,NaN,NA,NA,
79,00100111,7,303.299,0.033,-1,1,
80,01101010,2,303.313,NaN,NA,NA,
80,01101010,3,303.313,NaN,NA,NA,
80,01101010,4,304.314,NaN,NA,NA,
80,01101010,5,304.516,NaN,NA,16510.bmp,A29.bmp,
80,01101010,6,305.51800000000003,NaN,NA,NA,
80,01101010,7,305.579,0.06,-1,1,
81,10111011,2,305.592,NaN,NA,NA,
81,10111011,3,305.592,NaN,NA,NA,
81,10111011,4,306.593,NaN,NA,NA,
81,10111011,5,306.794,NaN,NA,25593.bmp,A61.bmp,
81,10111011,6,307.796,NaN,NA,NA,
81,10111011,7,307.878,0.08,1,1,
82,00011100,2,307.892,NaN,NA,NA,
82,00011100,3,307.892,NaN,NA,NA,
82,00011100,4,308.89300000000003,NaN,NA,NA,
82,00011100,5,309.094,NaN,NA,07211.bmp,A199.bmp,
